class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,identifier_value,described_by_source_value,described_by_source_label
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,title,,,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti. Al serenissimo Federico prencipe d'Vrbino,,,,,,,,,,,,,,,
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,inception,,,,1621.0,,,,,,,,,,,,,,
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,has_version,,,,,http://id.sbn.it/bid/TO0E008513,1621.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dKosPMkJ2XoY', 'label': 'Alessandro Polo'}",https://books.google.be/books?id=ObSaJQi0LeQC,,,,,,,,,
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SNDFZU9awXfx,Marco Antonio Ferretti,,,,,,
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,subject,,,,,,,,,,,,,,,,,,
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,has_part,,,,,,,,,,,,,,,,,,
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,based_on,,,,,,,,,,,,,,,,,,
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,identifier,,,,,,,,,,,,,,,,http://id.sbn.it/bid/TO0E008513,,
Book,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti.md,Gli horti del sole. Poemetto del con. Marc'Ant. Ferretti,LAjiEp6F57co,374607356871831839661,described_by_source,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH,(Tostini 2017)
