class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_external_source,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_publisher,has_version_note,contributor_value,subject_value,subject_label,has_part_value,based_on_value,based_on_label
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,identifier,https://edit16.iccu.sbn.it/titolo/CNCE054714,,,,,,,,,,,,,,,,,,,,
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AKdqXvjEKiNE,(Lucioli 2024),,,,,,,,,,,,,,,,,,
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,title,,,,,,,,,,,,,,,,,,,,,
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,inception,,,,,,,,,,,,,,,,,,,,,
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,has_version,,,,,,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10758640/manifest,https://www.digitale-sammlungen.de/en/view/bsb10758640,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn', 'label': 'Firenze'}]",1570.0,https://mdz-nbn-resolving.de/details:bsb10758640,,,,,,,,
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,has_version,,,,,,,,,https://books.google.it/books?id=_AF9YOXQrlsC,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1550.0,https://edit16.iccu.sbn.it/titolo/CNCE027004,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",Reprint.,,,,,,
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,has_version,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1549.0,https://edit16.iccu.sbn.it/titolo/CNCE054714,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",,,,,,,
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,contributor,,,,,,,,,,,,,,,,,,,,,
Book,Discorso sopra tutti li primi canti d'Orlando Furioso,"Commentary in ottava rima of the chivalry poem Orlando Furioso by Ludovico Ariosto. At the end of each canto, the author dedicates a stanza for members of her intellectual and social network.",,Discorso sopra tutti li primi canti d'Orlando Furioso,Discorso sopra tutti li primi canti d'Orlando Furioso.md,GfquJ8xytX6t,302602064882639835509,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Nfu6kAv6zZ5S,commentary,,,
