class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,identifier,https://edit16.iccu.sbn.it/titolo/CNCE019365,,,,,,,,,,,,,,,,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,described_by_source,,,,,,,,,,,,,,,,,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,title,,,,,Chaos del tri per vno,,,,,,,,,,,,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,inception,,,,,,1527.0,,,,,,,,,,,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1527.0,https://www.digitale-sammlungen.de/en/view/bsb10189918,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10189918/manifest,,,,,,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eY9VyUGp6KLy,Teofilo Folengo,,,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cJtwxJGbNdUY,tarot card game,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,based_on,,,,,,,,,,,,,,,,,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,catalog_identifier,,,,,,,,,,,,,,,,,,,
Book,Chaos del tri per uno,,,Chaos del tri per uno,Chaos del tri per uno.md,4Z4eXm9TQs4C,52511605606070543554,has_part,,,,,,,,,,,,,,,,,,,
