class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,identifier,https://rism.online/sources/990057389,,,,,,,,,,,,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV19200010,,,,,,,,,,,,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,identifier,http://id.sbn.it/bid/MUS0238448,,,,,,,,,,,,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AbuDB4awtRQP,music score,,,,,,,,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,title,,,,,,Le seconde musiche di Claudio Saracini detto il Palusi nobile senese per cantar et sonar nel chitarrone arpicordo et altri istromenti. Et nel fine il lamento della Madonna in stile recitativo,,,,,,,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,inception,,,,,,,1620.0,,,,,,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,has_version,,,,,,,,http://id.sbn.it/bid/MUS0238448,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U6A7AEa9PvuU', 'label': 'Alessandro Vincenti'}",1620.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/BB/BB309/,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KjAY94RouFtJ,Claudio Saracini,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,subject,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,has_part,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ne3BHXniMVmN,voice
NotatedMusic,Le seconde musiche di Claudio Saracini,,,Le seconde musiche di Claudio Saracini,Le seconde musiche di Claudio Saracini.md,6kaJWqLKCNxc,97954085502521378242,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BE4kxtAbpReH,continuo group
