class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_external_source,has_version_publisher,has_version_place_of_publication,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,identifier,https://edit16.iccu.sbn.it/titolo/CNCE004211,,,,,,,,,,,,,,,,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,described_by_source,,,,,,,,,,,,,,,,,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9m23V9Hha9iA,treatise,,,,,,,,,,,,,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,title,,,,,"Dell'imprese di Scipion Bargagli gentil'huomo sanese. Alla prima parte, la seconda, e la terza nuouamente aggiunte: doue; doppo tutte l'opere cosi scritte a penna, come stampate, ch'egli potuto ha leggendo vedere di coloro, che della materia dell'imprese hanno parlato; della vera natura di quelle si ragiona",,,,,,,,,,,,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,inception,,,,,,,,,,,,,,,,,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,has_version,,,,,,,1594.0,https://books.google.it/books?id=Sp8gPV-8p8gC,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4vGZjVcpavRo', 'label': 'Francesco De Franceschi'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE004211,,,,,,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f56LGEz2kCWP,Scipione Bargagli,,,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NALenMNqEw64,impresa,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7SDwTH2xoWfL,emblem book,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,has_part,,,,,,,,,,,,,,,,,,,
Book,Dell'imprese di Scipione Bargagli gentil'huomo senese,,,Dell'imprese di Scipione Bargagli gentil'huomo senese,Dell'imprese di Scipione Bargagli gentil'huomo senese.md,KQavmyv7dNHK,358984158550765462205,based_on,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hjMNPz3wwVtb,Ragionamento di Luca Contile sopra la proprietà delle imprese con le particolari de gli Academici Affidati et con le interpretationi et croniche
