class,label,base_name,filename,id,n_id,property,instance_of_value,gender_value,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,identifier_value
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,instance_of,,,,,,,,,,,
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,gender,,,,,,,,,,,
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,work_location,,,,,,,,,,,
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,member_of,,,,,,,,,,,
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,occupation,,,,,,,,,,,
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,related_to,,,,,,,,,,,
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,notable_work,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZjFvAdM6R83B,La Catena d'Adone,,,
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,interested_in,,,,,,,,,,,
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,catalog_identifier,,,,,,,,,,,
Agent,Domenico Mazzocchi,Domenico Mazzocchi,Domenico Mazzocchi.md,cJtcdpKoAasW,707734561365630719986,identifier,,,,,,,,,,,http://www.wikidata.org/entity/Q926744
