class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,identifier,https://edit16.iccu.sbn.it/titolo/CNCE026060,,,,,,,,,,,,,,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2F006480010,,,,,,,,,,,,,,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,title,,,,,,Rime di m. Girolamo Parabosco,,,,,,,,,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,inception,,,,,,,,,,,,,,,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE026060,1547.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",https://viewer.onb.ac.at/10A54EDC/,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",https://api.onb.ac.at/iiif/presentation/v3/manifest/10A54EDC,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KGUmK3TLsKkL,Girolamo Parabosco,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,subject,,,,,,,,,,,,,,,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Rime di m. Girolamo Parabosco,,,Rime di m. Girolamo Parabosco,Rime di m. Girolamo Parabosco.md,KvrS562Hic77,369943581893159215055,has_part,,,,,,,,,,,,,,,,,,,,,
