class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,identifier,http://www.wikidata.org/entity/Q124000481,,,,,,,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,identifier,https://lyra.unil.ch/agents/262,,,,,,,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,work_location,,,,,,,,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XdsneEewHovt,1542.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia dei Sonnacchiosi di Bologna,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,occupation,,,,,,,,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,related_to,,,,,,,,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0393,
Agent,Maria Diamante Dolfi,,['Diamante Dolfi'],Maria Diamante Dolfi,Maria Diamante Dolfi.md,ivYChgZ7D5aD,844453464670677546854,present_in_work,,,,,,,,,,,,,,,,,,,
