class,aliases,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,member_of,,,,,,,,,,,,,,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,occupation,,,,,,,,,,,,,,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,related_to,,,,,,,,,,,,,,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,notable_work,,,,,,,,,,,,,,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,interested_in,,,,,,,,,,,,,,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",17514.0,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,present_in_work,,,,,,,,,,,,,,,
Agent,['Bernardo Giunta'],Italian printer (1540 - c. 1627),Bernardo Giunti,Bernardo Giunti.md,Bernardo Giunti,iYTS9qGmP3jb,836458471819171039206,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q21548267
