class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,inception_reference,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,has_version_holding_institution,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value,catalog_identifier_source
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,identifier,,,,,,,,,,,,,,,,,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bBBmbufTcKbQ,University of Cambridge,,,,,,,,,,,,,,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HXQyc85NviAY,manuscript,,,,,,,,,,,,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M9iGv9TStxpX,album amicorum,,,,,,,,,,,,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,title,,,,,,,,,,,,,,,,,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,inception,,,,,,,1573.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ev3YuNAVyPXa', 'label': '(Hendrix 2017)'}]",,,,,,,,,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,has_version,,,,,,,,,https://cudl.lib.cam.ac.uk/view/MS-LC-00002-00113,https://cudl.lib.cam.ac.uk/mirador/MS-LC-00002-00113/0,https://cudl.lib.cam.ac.uk//iiif/MS-LC-00002-00113,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bBBmbufTcKbQ', 'label': 'University of Cambridge'}",1573.0,,,,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RNZcj9iYXdXn,Abraham Ortelius,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7SDwTH2xoWfL,emblem book,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,has_part,,,,,,,,,,,,,,,,,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,based_on,,,,,,,,,,,,,,,,,,,,,,
Book,Album Amicorum of Abraham Ortelius,,,Album Amicorum of Abraham Ortelius,Album Amicorum of Abraham Ortelius.md,UjT4MFmbMSoq,551535810831175088297,catalog_identifier,,,,,,,,,,,,,,,,,,,,,MS LC.2.113,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bBBmbufTcKbQ', 'label': 'University of Cambridge'}"
