class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/233800000010101_000000002400C,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,,,,,,
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ybFxsvJusaH,Lodovico Agostini,,,,,,,,,,,,,,,,
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TLwDygVEEnDQ,Il nuovo echo a cinque voci,,,,,,,,,,,,,,
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,based_on,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,text,,,,,,,,,,,,,,"Quanto più voi LAURA gentil riguardo,
Ogn'hor più ardo,
Perché m'aventa Amore,
Ma di ciò non mi pento,
Anzi ne son contento,
Purché voi siate pia,
E come vostro io son, voi siate mia.",,,,,,,,,,
MusicComposition,Quanto più voi Laura gentil riguardo (Agostini),,,Quanto più voi Laura gentil riguardo (Agostini),Quanto più voi Laura gentil riguardo (Agostini).md,WVBqoPDTdhxW,587642585980018927825,language,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,,,,,,,
