class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_note,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/008950000010101_000000076800C,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF,(Stras 2018),,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KjaJCjnYFATB,Alfonso dalla Viola,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DrkJkRtJvR2m,Primo libro di Madrigali d'Alfonso dalla Viola,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b9EEWzfgsepR,Incipit assonance.,Alma beata e bella,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,text,,,,,,,,,,,,,,,,"Alma beata e bella
Che a le quiete piume
Si, proprio mi mostraste il chiaro lume
Quando tornerà più si lieto il sonno
Che di voi mi conceda quel che tanti
Sospir tormenti e pianti
Interceder ne gratia un qua non ponno,
Deh se pietade mai pungergli il petto
Col sogno e con la mia benigna stella
Ritorna a me sovente
E si m’opprima l’aﬀannata mente
Che con quei grati et amorosi gesti
Sempre io stia seco e mai più non mi desti.",,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,language,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,subject,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,poetic_type,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DZwg5ijCKnjb,light beam,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TRHMAMaRfnLP,torment,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YNz7hZ7AqXJk,weeping,,
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,metre,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable
MusicComposition,Alma beat'e bella (Viola),,,Alma beat'e bella (Viola),Alma beat'e bella (Viola).md,EBzr3Jvs9S89,251250131704115773663,metre,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable
