class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,title,,,"Rime diuerse d'alcune nobilissime, et virtuosissime donne, raccolte per m. Lodouico Domenichi, e intitolate al signor Giannotto Castiglione gentil'huomo milanese",,,,,,,,,,,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,inception,,,,,,,,,,,,,,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,has_version,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XSSWJuarq3FG', 'label': 'Lucca'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AE5GjpNrgXhG', 'label': 'Vincenzo Busdraghi'}",1559.0,https://edit16.iccu.sbn.it/titolo/CNCE017557,https://viewer.onb.ac.at/10B1F7B3/,https://api.onb.ac.at/iiif/presentation/v3/manifest/10B1F7B3,,,,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ivYChgZ7D5aD,Maria Diamante Dolfi,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cnEPDxq7rFvj,Virginia Martini Salvi,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S6k4cZpBdTPw,Lodovico Domenichi,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,subject,,,,,,,,,,,,,,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,has_part,,,,,,,,,,,,,,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,based_on,,,,,,,,,,,,,,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,identifier,,,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE017557,,
Book,,"Rime diverse d'alcune nobilissime, et virtuosissime donne","Rime diverse d'alcune nobilissime, et virtuosissime donne.md","Rime diverse d'alcune nobilissime, et virtuosissime donne",KsqUZ8dKXxDW,368851408121948447374,described_by_source,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cV7inRaDCFsd,(Robin 2007)
