class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Laura Terracina,,,,,,,,,,,,,,,,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NdoMgsS6yGTo,17.0,Rime de la signora Laura Terracina,,,,,,,,,,,,,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,,,,,,,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rq5MFqmMSfYb,Cupid,,,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,text,,,,,,,,,,,,,,,,,,,"Amor tu causi tutto il penar mio:
Tu mi fai il torto, e non colei ch'io adoro;
Che se tu dessi effetto al mio desio,
Havrei ne i danni pur qualche ristoro.
Ma tu se' ingiusto & lusinghiero Iddio;
E sei cagion, che per amare io moro.
Che se il mio stato con giustitia guardi,
A pena havuto io n'ho parole & sguardi.",,
PoeticWork,Amor tu causi tutt'il penar mio,Amor tu causi tutt'il penar mio.md,Amor tu causi tutt'il penar mio,3M6sgyUKSxq8,27545475255481167492,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
