class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_note,contributor_value,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,identifier,https://edit16.iccu.sbn.it/titolo/CNCE044020,,,,,,,,,,,,,,,,,
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV52430010,,,,,,,,,,,,,,,,,
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,identifier,https://musicare.beniculturali.unipd.it/database/editions/006965.html,,,,,,,,,,,,,,,,,
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,identifier,https://rism.online/sources/993120844,,,,,,,,,,,,,,,,,
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dRXM2UxsVRJj,Musicare DB,,,,,,,,,,,,,,,
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,,,,,,,,,,,
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,title,,,,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. auttori. Libro primo,,,,,,,,,,,,
NotatedMusic,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,,,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo,Giardinetto de madrigali et canzonette a tre voci. De diversi eccell. autori. Libro primo.md,KzMsdmsmMuqD,371210372475264314711,inception,,,,,,,,,,,,,,,,,,
