class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_note,contributor_label,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,identifier,https://edit16.iccu.sbn.it/titolo/CNCE024260,,,,,,,,,,,,,,,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9m23V9Hha9iA,treatise,,,,,,,,,,,,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,title,,,,,"Le nobiltà, et eccellenze delle donne: et i diffetti, e mancamenti de gli huomini. Discorso di Lucretia Marinella. In due parti diuiso",,,,,,,,,,,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,inception,,,,,,,,,,,,,,,,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE024260,1600.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FLES2CoRQYLJ', 'label': 'Giovanni Battista Ciotti'}",https://books.google.it/books?id=D4X-xGIvBG0C,,,,,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWRuHcPbYCc,Dedication poem.,Orazio Visdomini,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HF28L6dcXJjd,,Lucrezia Marinella,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TNEkus8TKX7L,querelle des femmes,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,has_part,,,,,,,,,,,,,,,,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,based_on,,,,,,,,,,,,,,,,,,,,
Book,"Le nobiltà, et eccellenze delle donne",,,"Le nobiltà, et eccellenze delle donne","Le nobiltà, et eccellenze delle donne.md",SfgyTf7yVQvQ,508904364999877952119,catalog_identifier,,,,,,,,,,,,,,,,,,,,
