class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,,,,,,,,,,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENUbQJ8t6z8B,Gaspara Stampa,89.0,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Z5e4Z6WMSNSn,despair,,,,,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dTnWFEd5MLzx,thorn,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ND6mFMouFeKh,hope,,,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Ch'il crederia? felice era il mio stato,,,Ch'il crederia? felice era il mio stato,Ch'il crederia? felice era il mio stato.md,cqwiASftgcnp,718977264076941200359,text,,,,,,,,,,,,,,,,,,,,,,,,"Ch'il crederia? felice era il mio stato,
Quando a vicenda or doglia, ed or diletto
Or tema, or speme m'ingombrava'l petto,
E m'era il Cielo or chiaro, ed or turbato.

Perché questo d'Amor fiorito prato
Non è, a mio giudicio, appien perfetto,
Se non è misto di contrario effetto
Quando la noia fa il piacer più grato.

Ma or l'han pieno sì di spine, e sterpi
Chi lo può fare, e svelti i fiori, e l'erba,
Che sol v'albergan velenosi serpi.

O fe' cangiata, o mia fortuna acerba,
Tu le speranze mie recidi, e sterpi;
La cagion dentro al petto mio si serba."
