class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,text_value
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,identifier,https://edit16.iccu.sbn.it/titolo/CNCE048044,,,,,,,,,,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,identifier,http://www.wikidata.org/entity/Q471831,,,,,,,,,,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,described_by_source,,,,,,,,,,,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AYqoxRbyDh4i,pastoral drama,,,,,,,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,title,,,,,"L'Aminta del sig. Torquato Tasso, tratto da fedeliss. copia di mano dell'istesso auttore. Il qual non pur si vede più corretto di tutti gli altri, che fin qui siano vsciti in luce, ma accresciuto di quanto a quelli in molti luochi mancaua",,,,,,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,inception,,,,,,1581.0,,,,,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,has_version,,,,,,,https://dl.unito.it/fedora/objects/mag:2635/datastreams/MMIIIF/content,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1583.0,https://edit16.iccu.sbn.it/titolo/CNCE048013,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QhXTZwxob5AG', 'label': 'Parma'}]",1581.0,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bf9DkyDM3PuF', 'label': 'Erasmo Viotti'}",,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hzh3As9hqrE,Battista Guarini,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AiN5RxqDLXgg,Pomponio Torelli,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,Torquato Tasso,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,subject,,,,,,,,,,,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,has_part,,,,,,,,,,,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,based_on,,,,,,,,,,,,,,,,,,
Book,L'Aminta del sig. Torquato Tasso,,,L'Aminta del sig. Torquato Tasso,L'Aminta del sig. Torquato Tasso.md,mDNtFmikWauL,891458689656760506063,text,,,,,,,,,,,,,,,,,,https://it.wikisource.org/wiki/Aminta
