class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,has_version_publication_date,has_version_place_of_publication,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,identifier,http://id.sbn.it/bid/TO0E007607,,,,,,,,,,,,,,,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aDqLPFtLjEwa,(Testa 2020),,,,,,,,,,,,,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M9iGv9TStxpX,album amicorum,,,,,,,,,,,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,title,,,,,,,,,,,,,,,,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,inception,,,,,,,,,,,,,,,,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,has_version,,,,,,,,http://id.sbn.it/bid/TO0E007607,https://gallica.bnf.fr/ark:/12148/btv1b8562493m,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a4rNvLRqq9fj', 'label': 'Bibliothèque nationale de France'}",https://gallica.bnf.fr/iiif/ark:/12148/btv1b8562493m/manifest.json,1647.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",,,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,contributor,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dXzN4ZwoQDDu,Accademia degli Incogniti di Venezia,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,subject,,,,,,,,,,,,,,,,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,has_part,,,,,,,,,,,,,,,,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,based_on,,,,,,,,,,,,,,,,,,,
Book,Le glorie degli Incogniti,,,Le glorie degli Incogniti,Le glorie degli Incogniti.md,KuZDSENkpEW6,369472166468957168026,catalog_identifier,,,,,,,,,,,,,,,,,,,
