class,label,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_IIIF_manifest,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label,identifier_value,described_by_source_value,described_by_source_label
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cjS2X6Gi5ywA,epic poem,,,,,,,,,,,,,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8JpbW3M6fqQ7,translation,,,,,,,,,,,,,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,title,,,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne. Et tra l'altre à la nobilissima & diuina madonna Aurelia Tolomei de Borghesi, à cui ancho è indirizzato tutto il presente volume",,,,,,,,,,,,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,inception,,,,1540.0,,,,,,,,,,,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,has_version,,,,,https://edit16.iccu.sbn.it/titolo/CNCE027857,1544.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://public-api.prod.os01.ocp.cineca.it/api/v1/apipublic/resource/AA3774B945C9406B91D8FB8A337BEDEE/manifest/5D1B4615A4B245EB8176D99AE8504A03,https://books.google.it/books?id=HgdQ0BWJBykC,,,,,,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QSyianVr6pdC,Accademia degli Intronati di Siena,,,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bWqvazmy4YRT,Alessandro Piccolomini,,,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jTcFc23KwosU,Bartolomeo Carli Piccolomini,,,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYPBAQP5GSWP,classical antiquity,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,has_part,,,,,,,,,,,,,,,,,,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,based_on,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5vVzjuJ8tZqr,Aeneid,,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,identifier,,,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE027857,,
Book,"I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","Translation in Italian verses of Virgil's Aeneid, created by the collective effort of the Accademia degli Intronati of Siena","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne","I sei primi libri del Eneide di Vergilio, tradotti à piu illustre & honorate donne.md",BoSBGGyBJvif,202168064784194910004,described_by_source,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/efadNg8p9ufB,(Pallini 2020)
