class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_publisher,has_version_external_source,has_version_holding_institution,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,identifier,https://edit16.iccu.sbn.it/titolo/CNCE027134,,,,,,,,,,,,,,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,identifier,https://lyra.unil.ch/books/12,,,,,,,,,,,,,,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/E8PzDPXNKJm8,EDIT16,,,,,,,,,,,,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,title,,,,,,"Rime di diuersi signori napolitani, e d'altri. Nuouamente raccolte et impresse. Libro settimo",,,,,,,,,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,inception,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1556.0,https://edit16.iccu.sbn.it/titolo/CNCE027134,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",https://lyra.unil.ch/books/12/images,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU', 'label': 'Progetto Lyra'}",,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mb4nqpu9MxKm,Lodovico Dolce,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,subject,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,has_part,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi signori napoletani Libro settimo,,,Rime di diversi signori napoletani Libro settimo,Rime di diversi signori napoletani Libro settimo.md,PuMYwZifTJAV,451941723007285876422,based_on,,,,,,,,,,,,,,,,,,,
