class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_value,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,identifier,http://id.sbn.it/bid/MUS0163167,,,,,,,,,,,,,,,,,
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,identifier,https://rism.online/sources/990060379,,,,,,,,,,,,,,,,,
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV19860010,,,,,,,,,,,,,,,,,
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,title,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,inception,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,inception,,,,,,,1608.0,,,,,,,,,,,
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,has_version,,,,,,,,http://id.sbn.it/bid/MUS0163167,1608.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL', 'label': 'Napoli'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PxYkTRLT2yUL', 'label': 'Giovanni Battista Sottile'}",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/BB/BB344/,,,,,,
NotatedMusic,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,,,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci,Di Donat'Antonio Spano il Primo Libro de Madrigali a cinque voci.md,kbV8m9bNzYLa,878827137814357868147,contributor,,,,,,,,,,,,,,,,,,
