class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Yu2Hbz3grfve,Carlo Papini,,,,,,,,,,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HGkBtvfsQteS,Prospero Polelli,,,,,,,,,,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MkV6rMUBhrGv,All'Irresoluto.,Fiori di sacra poesia dell'Irresoluto Accademico Intronato,,,,,,,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,text,,,,,,,,,,,,,,,,,,,,,"Sciogli la lingua al canto, e leghi i cori,
E scopri in carte anguste angusta vena,
Mentre di lui, che l'Universo affrena,
Spieghi in sì dolce stil gli aspri dolori.

D'impuri no, ma di pudici ardori
Di magnanimi Eroi tua mente è piena,
Onde in contar di lor l'acerba pena,
Le spine ingemmi, e'l duro ferro indori.

Come in gioia si cangi il duol profondo,
La morte in vita, in luce ombre funeste,
Mostra il tuo stile oltre ogni stil facondo.

Così spirto immortale in mortal veste,
Mentre ti celi altri, ti scopri al Mondo
In terreno sembiante Orfeo celeste.",,
PoeticWork,"Sciogli la lingua al canto, e leghi i cori",,,"Sciogli la lingua al canto, e leghi i cori","Sciogli la lingua al canto, e leghi i cori.md",gTeKoVeDkj7i,793445665066289667739,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
