class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_reference,motto_value
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,inception,,,1606.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AC4Js3EhuZqL,Bologna,,,,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",11.0,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,member,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Selvaggi di Bologna,Accademia dei Selvaggi di Bologna.md,Accademia dei Selvaggi di Bologna,G2p4HNEjEbuL,289195018627907883384,motto,,,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Un suono esprime
