class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_holding_institution,has_version_external_source,has_version_note,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,identifier,https://edit16.iccu.sbn.it/titolo/CNCE044516,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,identifier,https://musicare.beniculturali.unipd.it/database/editions/005804.html,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,identifier,https://rism.online/sources/990046963,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dRXM2UxsVRJj,Musicare DB,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,title,,,,,,"Di Vincenzo Neriti maestro di capella nella Chiesa Maggiore di Salò il terzo libro di canzonette a quattro voci, con un dialogo a sette, e una a otto nel fine, nouamente composte, et date in luce",,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,inception,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci.md,9v3Y7pzSBWAB,163286738209800594195,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE044516,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EaQYo8TMzLM', 'label': 'Angelo Gardano'}",1599.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dS5RXWVqLTmk', 'label': 'Kassel University Library'}",https://orka.bibliothek.uni-kassel.de/viewer/image/1460706078272/89/,Cantus,https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1460706078272/manifest/,,,,,,,,
