class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3KxURtKJVxAF,Pietro Aretino,,,,,,,,,,,,,,,,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,part_of,,,,,,"Canto II, 1",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LgvtnF7kZsg4,D'Angelica di m. Pietro Aretino due primi canti,,,,,,,,,,,,,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGRByAyckPA5,kiss,,,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Non si curi del ciel chi in terra vive,Non si curi del ciel chi in terra vive.md,Non si curi del ciel chi in terra vive,6b5HMMdrRagS,94511463149726592213,text,,,,,,,,,,,,,,,,,,,,,"Non si curi del Ciel, chi in terra vive  
Felice amando, e del suo amor contento; 
Né lassù brami fra le cose dive  
Sentir la gioia, ove ogni spirto è intento;
Perch'al sommo diletto par che arrive  
Solo il gioco Amoroso, è in quel momento; 
Che de la donna sua si bascia il viso,  
S'ha il medesimo ben, ch'è in Paradiso."
