class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,poetic_type_value,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F034350000010101_000000055100C,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4W2xoMVfdVz7,villotta,,,,,,,,,,,,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/W8xXxz7ZbMdA,Alvise Castellino,,,,,,,,,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U9KKhKWyxp8N,Il primo libro delle villote di Aluvise Castellino,,,,,,,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,instrumentation,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,based_on,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,derivative_work,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,text,,,,,,,,,,,,,,"Ben staga tut ta que sta bel la briga
Cha si qua raduna sol per haver piacere
Avedirum el vero
Che a noi sol per piacere
Aseonte vengu za

Otan dan darari ton della
Otan darondella
O tan dan darari tonda

Per farvi intender a voi bella briga.
Cha si stregia conza sol per haver piacere
Averdirum il vero
Che a noi sol per piacere
Aseonte vegnu za

Otan dan darari ton della
Otan darondella
O tan dan darari tonda

A sen venuti an noi per honorare
Sta festa e per pregare tutta 'sta compagnia
Che ognun in pace stia
Ascolti e stia in piacere
Su basta andon in za

Otan dan darari ton della
Otan darondella
O tan dan darari tonda",,,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,language,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,language,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5TbsBoiCPSeZ,macaronic language,,,,,,
MusicComposition,Ben staga tutta questa bella briga (Castellino),,,Ben staga tutta questa bella briga (Castellino),Ben staga tutta questa bella briga (Castellino).md,irEDRYmoRdxx,842891084913723584058,subject,,,,,,,,,,,,,,,,,,,,,,
