class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_holding_institution,has_version_external_source,has_version_note,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,identifier,http://id.sbn.it/bid/TO0E013665,,,,,,,,,,,,,,,,,,,,,
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2F501770010,,,,,,,,,,,,,,,,,,,,,
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,,
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,title,,,,,,"Il Gareggiamento poetico del Confuso Accademico Ordito. Madrigali amorosi graui, e piaceuoli ne' quali si vede il bello, il leggiadro. & il vivace de i più illustri poeti d'Italia ...",,,,,,,,,,,,,,,,
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,inception,,,,,,,,,,,,,,,,,,,,,,
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,has_version,,,,,,,,http://id.sbn.it/bid/TO0E013665,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1611.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ErCQtbKkNyBK', 'label': 'Barezzo Barezzi'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",https://viewer.onb.ac.at/10A54FBD/,volume 1: Bellezza,https://api.onb.ac.at/iiif/presentation/v3/manifest/10A54FBD,,,,,,,
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,has_version,,,,,,,,http://id.sbn.it/bid/TO0E013665,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1611.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ErCQtbKkNyBK', 'label': 'Barezzo Barezzi'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",https://www.digitale-sammlungen.de/en/view/bsb10758717,volume 2: Madrigali Amorosi,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10758717/manifest,,,,,,,
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,has_version,,,,,,,,http://id.sbn.it/bid/TO0E013665,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1611.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ErCQtbKkNyBK', 'label': 'Barezzo Barezzi'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",https://www.digitale-sammlungen.de/en/view/bsb10758718,"volume 3: Madrigali Morali, & Heroici",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10758718/manifest,,,,,,,
Book,Il Gareggiamento poetico del Confuso Accademico Ordito,,,Il Gareggiamento poetico del Confuso Accademico Ordito,Il Gareggiamento poetico del Confuso Accademico Ordito.md,MW7UE9R8m7LS,402253709429223292920,has_version,,,,,,,,http://id.sbn.it/bid/TO0E013665,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1611.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ErCQtbKkNyBK', 'label': 'Barezzo Barezzi'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",https://www.digitale-sammlungen.de/en/view/bsb10758719,volume 4: Le Lodi,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10758719/manifest,,,,,,,
