class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_sourcing_circumstances,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_pseudonym,member_value,member_reference,member_label,member_role,interested_in_value,interested_in_reference,interested_in_label,notable_work_value,notable_work_label
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,identifier,http://www.wikidata.org/entity/Q48837556,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb,(Moroncini 2017),,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LaHmy3iDRxQM,(Moroncini 2020),,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,inception,,,,,,1532.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,dissolved,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1545.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,location,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,official_website,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",107.0,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,member,,,,,,,,,,,,,,,,,Sere Stentato,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WdSP8EMksryz,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Giulio Landi,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,member,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cZCQX49qGcQ2,,Luca Contile,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,member,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8jYaJTW8GF9y,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb', 'label': '(Moroncini 2017)'}]",Claudio Tolomei,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,member,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LHn4xk5u5GRA,,Francesco Berni,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,aTk9hoymKNbk,669667249087910380896,member,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,,Anton Francesco Doni,,,,,,
