class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_IIIF_manifest,has_version_holding_institution,contributor_value,contributor_role,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,identifier,,,,,,,,,,,,,,,,,,
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3XnpJ3vZQnbp,(Geremicca 2017),,,,,,,,,,,,,,,
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HXQyc85NviAY,manuscript,,,,,,,,,,,,,
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,title,,,,,,"Trattato delle proportioni et proportionalità; Dialogo sopra la particolare dichiaratione del giuoco di Pitagora inter locutori Carlo Strozzi, Cosimo Rucellai, et Iacopo Vettori",,,,,,,,,,,,
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,inception,,,,,,,1539.0,,,,,,,,,,,
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,has_version,,,,,,,,https://digitalcollections.library.upenn.edu/items/1cbab6fe-218a-471e-9f81-f7ef048c6dfa,1539.0,https://colenda.library.upenn.edu/items/ark:/81431/p3c95d/manifest,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U9abjoAUvN2q', 'label': 'University of Pennsylvania'}",,,,,,,
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,contributor,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TdyZG6fXKCLc,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",Benedetto Varchi,,,,
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hwaVpgj7GbXT,serio ludere,,
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fJs2iQkDSYua,board game,,
Book,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,"Treatise by Benedetto Varchi on proportion as the basis for rithmomachia, a mathematical game played on a chessboard with pieces that each have a shape and a number; a dialogue written by Carlo di Ruberto Strozzi, in which Cosimo Rucellai, who introduced the game to Benedetto Varchi, teaches the rules to Strozzi and Jacopo di Piero Vettori; and other notes on the game. Later unrelated notes and pen trials on leaves before and after main texts. Damage and bleed-through due to oxidation on many leaves.",,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora,Dialogo sopra la particolare dichiaratione del giuoco di Pitagora.md,mCuvDnsUYbDe,891293770633982909316,has_part,,,,,,,,,,,,,,,,,,
